 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-23T08:43:06.413
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-23T08:40:30.474
 Solar longitude (130 km)                     [deg] :      202.27
 Planet to Sun distance (130 km)          [10^6 km] :     107.752
 North planetary latitude (130 km)            [deg] :      -51.52
 East planetary longitude (130 km)            [deg] :       48.74
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.00
 Sub-solar east planetary longitude (130 km)  [deg] :       99.48
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       15.38
 Solar zenith angle (130 km)                  [deg] :       65.96
 Electron density (130 km)               [10^6/m^3] :   161355.97
 
=============================================================================

Altitude	ELECTRON NUMBER DENSITY
1817.097	1944.02
1816.727	1991.5
1816.355	2227.12
1815.987	2211.3
1815.617	2089.97
1815.246	2167.34
1814.877	2237.67
1814.508	2044.25
1814.138	1812.14
1813.766	1952.81
1813.398	1931.71
1813.027	1745.32
1812.658	1738.29
1812.287	1933.47
1811.918	1938.75
1811.549	1794.56
1811.177	1938.75
1810.809	1850.83
1810.439	1583.55
1810.069	1546.62
1809.698	1641.58
1809.33	1495.63
1808.96	1335.62
1808.588	1500.91
1808.218	1722.46
1807.85	1632.79
1807.48	1361.99
1807.109	1337.38
1806.742	1131.64
1806.371	801.06
1806.001	732.49
1805.629	837.99
1805.261	744.8
1804.891	683.25
1804.519	925.91
1804.15	1166.81
1803.781	1085.92
1803.411	924.15
1803.039	1177.36
1802.67	1384.85
1802.299	1481.56
1801.929	1710.16
1801.559	2028.42
1801.19	2056.56
1800.821	1887.75
1800.449	2007.32
1800.082	1915.89
1799.711	1673.23
1799.341	1687.3
1798.97	1840.28
1798.602	1769.94
1798.231	1743.56
1797.859	2123.38
1797.489	2628.04
1797.12	2828.49
1796.751	2796.84
1796.379	2939.27
1796.012	2835.53
1795.641	2596.39
1795.272	2608.7
1794.9	2742.33
1794.533	2606.94
1794.163	2410
1793.792	2476.82
1793.423	2578.8
1793.054	2346.69
1792.685	1977.43
1792.313	1995.02
1791.945	1944.02
1791.573	1829.73
1791.203	1972.16
1790.833	2316.8
1790.464	2422.31
1790.094	2283.39
1789.723	2318.56
1789.356	2061.83
1788.986	1650.37
1788.615	1599.38
1788.243	1824.45
1787.875	1877.2
1787.505	1917.65
1787.133	2253.5
1786.763	2643.86
1786.394	2756.4
1786.024	2737.06
1785.653	2977.96
1785.285	2986.75
1784.915	2833.77
1784.545	2949.82
1784.173	3232.93
1783.806	3245.23
1783.436	3173.14
1783.065	3343.7
1782.695	3544.16
1782.326	3452.72
1781.957	3197.76
1781.586	3215.34
1781.218	3069.39
1780.847	2837.29
1780.477	2884.76
1780.106	3196
1779.737	3343.7
1779.367	3345.46
1778.995	3644.39
1778.628	3735.83
1778.257	3623.29
1777.888	3635.6
1777.517	3697.14
1777.149	3508.99
1776.779	3310.29
1776.408	3417.56
1776.038	3595.16
1775.669	3545.92
1775.299	3463.28
1774.927	3711.21
1774.56	3690.11
1774.19	3401.73
1773.82	3287.44
1773.449	3340.19
1773.081	3246.99
1772.71	3211.82
1772.339	3531.85
1771.969	3904.63
1771.6	3952.11
1771.23	3876.5
1770.858	4157.84
1770.49	4344.23
1770.118	4470.84
1769.748	4840.1
1769.377	5411.58
1769.008	5763.26
1768.638	5926.79
1768.267	6362.87
1767.899	6540.47
1767.529	6442
1767.16	6413.86
1766.79	6389.25
1766.423	6125.49
1766.052	5974.26
1765.68	6294.29
1765.31	6709.27
1764.942	6693.45
1764.573	6334.74
1764.203	6151.86
1763.835	5838.87
1763.464	5495.98
1763.094	5476.64
1762.723	5580.38
1762.356	5362.34
1761.986	5072.21
1761.615	5075.72
1761.245	5186.5
1760.876	5093.31
1760.506	4931.54
1760.135	5051.11
1759.767	4917.47
1759.397	4574.58
1759.027	4442.7
1758.657	4569.31
1758.287	4553.48
1757.918	4447.98
1757.546	4690.64
1757.178	4736.35
1756.807	4623.82
1756.437	4748.66
1756.066	4973.74
1755.698	4910.43
1755.329	4771.52
1754.957	4917.47
1754.587	5181.23
1754.218	5233.98
1753.848	5221.67
1753.476	5575.11
1753.108	5777.32
1752.737	5800.18
1752.368	5919.75
1751.997	6032.29
1751.63	5856.45
1751.26	5710.5
1750.888	5944.37
1750.518	6269.67
1750.149	6289.02
1749.78	6153.62
1749.409	6292.53
1749.042	6172.96
1748.671	5819.53
1748.302	5640.17
1747.932	5717.54
1747.562	5717.54
1747.192	5650.72
1746.82	5910.96
1746.453	5937.34
1746.082	5743.91
1745.713	5735.12
1745.342	5810.73
1744.975	5576.87
1744.605	5288.49
1744.234	5339.48
1743.864	5534.67
1743.494	5562.8
1743.124	5568.07
1742.752	5968.99
1742.383	6248.57
1742.012	6345.29
1741.643	6556.29
1741.272	6763.78
1740.905	6640.7
1740.535	6501.78
1740.164	6712.79
1739.794	6999.41
1739.425	7009.96
1739.055	6915.01
1738.684	7145.36
1738.316	7222.72
1737.945	7115.46
1737.576	7126.01
1737.206	7250.86
1736.838	7110.19
1736.469	6762.03
1736.098	6689.93
1735.73	6443.76
1735.36	6072.73
1734.99	6014.71
1734.618	6150.1
1734.251	6048.12
1733.881	5888.1
1733.51	5944.37
1733.141	5960.2
1732.772	5661.27
1732.403	5307.83
1732.031	5376.41
1731.663	5378.17
1731.291	5323.66
1730.921	5580.38
1730.549	5995.36
1730.181	6127.24
1729.812	6148.35
1729.44	6396.28
1729.071	6654.76
1728.702	6586.19
1728.333	6364.63
1727.962	6464.86
1727.594	6443.76
1727.223	6348.8
1726.853	6500.02
1726.483	6811.26
1726.114	6832.36
1725.745	6645.97
1725.373	6793.68
1725.005	6795.43
1724.635	6626.63
1724.265	6631.9
1723.894	6740.92
1723.527	6637.18
1723.156	6575.64
1722.785	6823.57
1722.416	7057.44
1722.047	6893.9
1721.679	6471.89
1721.308	6266.16
1720.941	5893.38
1720.57	5444.99
1720.2	5307.83
1719.829	5299.04
1719.462	4943.84
1719.093	4437.43
1718.722	4226.42
1718.352	4201.8
1717.983	4083.99
1717.612	4020.69
1717.24	4351.27
1716.872	4500.73
1716.501	4474.35
1716.131	4657.23
1715.761	5024.73
1715.392	5102.1
1715.023	4910.43
1714.652	4949.12
1714.285	4785.59
1713.914	4513.04
1713.544	4542.93
1713.172	4771.52
1712.804	4811.96
1712.434	4878.78
1712.063	5204.09
1711.694	5459.05
1711.325	5351.79
1710.955	5163.64
1710.583	5420.37
1710.215	5589.18
1709.844	5589.18
1709.475	5747.43
1709.104	5981.3
1708.736	5981.3
1708.366	5947.89
1707.995	6153.62
1707.626	6354.08
1707.257	6260.88
1706.888	6067.46
1706.516	6201.1
1706.149	6114.94
1705.778	5840.63
1705.409	5851.18
1705.038	6183.51
1704.669	6341.77
1704.3	6236.26
1703.929	6274.95
1703.562	6030.53
1703.191	5698.2
1702.821	5736.88
1702.449	5993.61
1702.082	5984.81
1701.712	5914.48
1701.341	6132.52
1700.971	6369.9
1700.603	6283.74
1700.234	6012.95
1699.862	6011.19
1699.496	5782.6
1699.125	5371.13
1698.756	5225.19
1698.384	5283.21
1698.016	5228.7
1697.646	5202.33
1697.275	5402.79
1696.906	5495.98
1696.538	5140.78
1696.169	4611.51
1695.798	4465.56
1695.429	4326.65
1695.058	4231.69
1694.687	4467.32
1694.317	4901.64
1693.948	5037.04
1693.579	4901.64
1693.208	4977.25
1692.841	4790.86
1692.471	4393.47
1692.101	4254.55
1691.73	4338.96
1691.362	4270.38
1690.991	4270.38
1690.619	4655.47
1690.249	5131.99
1689.881	5256.84
1689.512	5093.31
1689.141	5063.42
1688.774	4799.66
1688.403	4465.56
1688.033	4495.45
1687.662	4750.42
1687.294	4764.49
1686.924	4718.77
1686.553	4947.36
1686.184	5207.6
1685.815	5144.3
1685.446	4926.26
1685.074	5061.66
1684.706	5147.82
1684.334	5207.6
1683.964	5527.63
1683.594	6012.95
1683.225	6220.44
1682.856	6236.26
1682.484	6561.57
1682.117	6691.69
1681.746	6616.08
1681.377	6712.79
1681.006	6872.8
1680.639	6682.9
1680.27	6391
1679.899	6391
1679.529	6536.95
1679.16	6521.12
1678.79	6447.27
1678.419	6681.14
1678.051	6704
1677.681	6570.36
1677.311	6672.35
1676.94	6893.9
1676.573	6816.54
1676.203	6651.25
1675.832	6776.09
1675.462	6981.82
1675.094	6888.63
1674.725	6582.67
1674.354	6503.54
1673.987	6241.54
1673.616	5902.17
1673.246	5923.27
1672.875	6250.33
1672.506	6378.69
1672.137	6317.15
1671.766	6500.02
1671.399	6405.07
1671.028	6100.87
1670.659	6049.88
1670.287	6183.51
1669.92	6079.77
1669.55	5914.48
1669.179	6016.47
1668.81	6174.72
1668.441	6041.08
1668.072	5770.29
1667.701	5805.46
1667.333	5652.48
1666.962	5378.17
1666.593	5358.83
1666.222	5444.99
1665.855	5235.74
1665.485	4987.8
1665.114	5068.69
1664.744	5218.15
1664.376	5082.76
1664.007	4794.38
1663.635	4794.38
1663.268	4615.02
1662.897	4319.61
1662.527	4335.44
1662.157	4644.92
1661.787	4810.21
1661.417	4836.58
1661.046	5151.33
1660.678	5267.39
1660.307	5209.36
1659.938	5284.97
1659.568	5302.56
1659.202	4887.58
1658.833	4389.95
1658.462	4282.69
1658.092	4382.92
1657.722	4333.68
1657.353	4212.35
1656.981	4384.67
1656.614	4361.82
1656.243	4200.04
1655.873	4249.28
1655.503	4351.27
1655.136	4143.77
1654.766	3915.18
1654.394	4047.06
1654.025	4287.96
1653.656	4263.35
1653.287	4096.3
1652.915	4182.46
1652.549	3994.31
1652.179	3554.71
1651.81	3275.13
1651.44	3245.23
1651.07	3127.42
1650.7	3000.82
1650.328	3313.81
1649.96	3475.58
1649.589	3443.93
1649.22	3556.47
1648.85	3630.32
1648.483	3294.47
1648.113	2962.13
1647.742	3113.35
1647.371	3517.79
1647.002	3718.24
1646.633	3712.97
1646.262	3899.36
1645.895	3827.26
1645.524	3547.68
1645.155	3458
1644.785	3431.62
1644.418	3074.67
1644.048	2682.55
1643.677	2698.37
1643.307	2925.21
1642.938	2928.72
1642.569	2737.06
1642.198	2765.19
1641.83	2610.45
1641.46	2341.42
1641.09	2290.43
1640.72	2427.58
1640.352	2308.01
1639.983	1995.02
1639.611	2023.15
1639.244	1928.2
1638.873	1761.15
1638.503	1868.41
1638.132	2061.83
1637.765	1877.2
1637.396	1573
1637.025	1594.1
1636.655	1759.39
1636.286	1725.98
1635.916	1609.93
1635.544	1842.03
1635.177	1956.33
1634.805	1982.71
1634.436	2262.29
1634.065	2599.9
1633.698	2540.12
1633.328	2341.42
1632.958	2406.48
1632.588	2550.67
1632.219	2466.27
1631.85	2315.04
1631.478	2504.95
1631.111	2513.74
1630.74	2362.52
1630.371	2415.27
1630.001	2642.1
1629.633	2621
1629.263	2441.65
1628.892	2589.35
1628.525	2534.84
1628.154	2297.46
1627.785	2304.49
1627.413	2489.12
1627.046	2450.44
1626.676	2339.66
1626.306	2410
1625.937	2452.2
1625.568	2248.22
