 -----------------------------------------------------------------------------
  values at 130 km altitude above aeroid (130 km)
 -----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2010-07-05T06:37:45.593
 Measurement time (130 km)               [ERT-OWLT] :  2010-07-05T06:29:04.039
 Solar longitude (130 km)                     [deg] :      333.59
 Planet to Sun distance (130 km)          [10^6 km] :     108.073
 North planetary latitude (130 km)            [deg] :        5.89
 East planetary longitude (130 km)            [deg] :      176.30
 Sub-solar north planetary latitude (130 km)  [deg] :       -1.17
 Sub-solar east planetary longitude (130 km)  [deg] :      153.82
 Aeroid radius (130 km)                        [km] :    6051.800
 MOLA radius (130 km)                          [km] :   -9999.999
 Local true solar time (130 km)               [hrs] :       10.50
 Solar zenith angle (130 km)                  [deg] :       23.53
 Electron density (130 km)               [10^6/m^3] :   216209.65

=========================================================================

Altitude	ELECTRON NUMBER DENSITY
3600.457	-3181.51
3599.934	-3169.2
3599.411	-2668.06
3598.887	-1440.7
3598.368	-962.42
3597.845	-958.9
3597.327	-1403.77
3596.804	-2043.83
3596.281	-1402.01
3595.762	-1338.71
3595.239	-1751.94
3594.72	-2297.04
3594.196	-2441.23
3593.675	-2054.38
3593.153	-1955.91
3592.634	-2386.72
3592.109	-2442.98
3591.59	-2323.41
3591.066	-2210.88
3590.546	-1961.18
3590.025	-2450.02
3589.502	-2298.8
3588.979	-1366.85
3588.46	-1238.48
3587.936	-1057.37
3587.416	-456
3586.897	-1083.74
3586.373	-1351.02
3585.854	-1319.37
3585.333	-1934.81
3584.809	-1618.3
3584.287	-751.41
3583.766	-575.57
3583.247	-1106.6
3582.725	-1505.76
3582.204	-1514.55
3581.68	-1023.96
3581.16	-614.25
3580.639	-918.46
3580.119	-1278.93
3579.597	-1509.28
3579.078	-2073.72
3578.554	-2152.85
3578.031	-1352.78
3577.512	-1338.71
3576.991	-1804.69
3576.471	-2270.66
3575.949	-2569.59
3575.428	-2620.58
3574.909	-3498.02
3574.385	-3883.11
3573.862	-3049.63
3573.342	-2588.93
3572.823	-3104.14
3572.3	-3524.4
3571.779	-3394.28
3571.254	-2550.25
3570.734	-1445.97
3570.214	-1285.96
3569.695	-2024.49
3569.171	-2210.88
3568.651	-1704.46
3568.129	-1495.21
3567.609	-1454.77
3567.086	-1245.52
3566.566	-994.07
3566.042	-267.85
3565.523	389.79
3565	644.76
3564.48	1186.34
3563.963	465.4
3563.44	-211.58
3562.918	162.96
3562.4	-406.76
3561.877	-844.6
3561.357	-754.92
3560.835	-1006.38
3560.315	-1175.18
3559.793	-1278.93
3559.274	-1605.99
3558.751	-1569.06
3558.23	-1227.93
3557.71	-1453.01
3557.187	-1187.49
3556.667	-735.58
3556.146	-781.3
3555.623	-352.25
3555.105	-301.26
3554.583	-538.64
3554.063	-557.98
3553.542	-923.73
3553.019	-496.44
3552.5	-155.31
3551.978	-28.71
3551.457	433.75
3550.935	787.19
3550.414	1397.35
3549.893	2000.48
3549.376	1474.72
3548.851	1378.01
3548.333	1636.49
3547.811	1585.5
3547.289	2200.94
3546.766	3291.14
3546.25	3382.58
3545.728	2777.69
3545.209	2547.34
3544.685	2742.52
3544.167	2876.16
3543.647	2225.56
3543.123	2666.91
3542.606	2624.71
3542.085	1692.76
3541.566	1029.85
3541.041	1219.75
3540.52	2257.21
3540.003	1914.32
3539.482	1031.6
3538.961	834.66
3538.439	938.41
3537.919	1131.83
3537.4	732.68
3536.878	312.42
3536.357	600.8
3535.838	542.77
3535.314	861.04
3534.796	1186.34
3534.272	1659.35
3533.758	1012.26
3533.232	530.46
3532.71	1944.21
3532.192	2074.33
3531.674	1167
3531.147	1829.92
3530.629	3076.62
3530.11	2767.14
3529.587	2960.56
3529.069	3088.93
3528.548	2876.16
3528.028	2932.43
3527.507	2774.17
3526.987	2779.45
3526.467	2607.13
3525.949	1805.3
3525.427	1304.16
3524.906	1392.08
3524.388	711.58
3523.867	-186.96
3523.346	-415.55
3522.825	-273.12
3522.305	-172.9
3521.784	-162.35
3521.264	-48.05
3520.74	894.45
3520.22	2016.31
3519.703	1683.97
3519.179	1907.29
3518.66	2617.68
3518.141	2158.74
3517.619	2195.66
3517.1	2399.64
3516.58	2018.06
3516.062	1174.04
3515.54	750.26
3515.021	620.14
3514.5	280.77
3513.979	493.54
3513.457	1031.6
3512.939	1156.45
3512.418	968.3
3511.899	788.95
3511.377	803.01
3510.857	1093.15
3510.334	1865.08
3509.815	2652.85
3509.296	2666.91
3508.775	2804.07
3508.254	3287.63
3507.733	4085.94
3507.216	3985.71
3506.697	3025.63
3506.177	2499.87
3505.656	2433.05
3505.136	2489.31
3504.616	2401.4
3504.092	3305.21
3503.574	4061.32
3503.058	2983.42
3502.539	1323.5
3502.016	887.42
3501.495	1640.01
3500.976	1733.2
3500.456	1487.03
3499.935	1615.39
3499.417	1205.69
3498.898	391.55
3498.376	344.07
3497.855	818.84
3497.335	1094.91
3496.815	1325.26
3496.296	1312.95
3495.777	810.05
3495.256	695.75
3494.737	644.76
3494.213	1351.63
3493.695	2276.55
3493.179	1209.2
3492.657	525.19
3492.137	723.89
3491.618	509.36
3491.098	386.27
3490.577	586.73
3490.058	481.23
3489.537	470.68
3489.017	899.73
3488.499	693.99
3487.977	736.19
3487.459	688.72
3486.938	620.14
3486.418	1077.32
3485.901	632.45
3485.38	108.45
3484.857	859.28
3484.339	1457.14
3483.823	280.77
3483.296	648.27
3482.779	1953
3482.26	1821.12
3481.739	2011.03
3481.22	2329.3
3480.701	2202.7
3480.178	2746.04
3479.66	3502.15
3479.143	2923.64
3478.623	2246.66
3478.102	2418.98
3477.583	2547.34
3477.062	2858.58
3476.545	2663.4
3476.023	2489.31
3475.505	2848.03
3474.984	2839.24
3474.466	2665.15
3473.947	2051.47
3473.429	1239.1
3472.907	1163.48
3472.391	883.9
3471.867	880.38
3471.347	1912.56
3470.83	1861.57
3470.309	1638.25
3469.787	2438.32
3469.271	2633.5
3468.752	1891.46
3468.232	1736.72
3467.71	2422.5
3467.193	2693.29
3466.672	2624.71
3466.153	2811.1
3465.632	3168.06
3465.109	4671.48
3464.592	5635.08
3464.077	4520.26
3463.557	3530.29
3463.036	3760.63
3462.516	4318.05
3461.996	4949.31
3461.477	5425.84
3460.958	5647.39
3460.438	5923.46
3459.919	6048.31
3459.401	5802.13
3458.881	5719.49
3458.36	6141.5
3457.842	6354.27
3457.323	6306.79
3456.805	5999.07
3456.286	5367.81
3455.768	4894.8
3455.249	4325.08
3454.729	4112.31
3454.209	4316.29
3453.69	4374.31
3453.172	4096.49
3452.65	4293.43
3452.13	5176.14
3451.612	5564.75
3451.096	4631.04
3450.575	3889
3450.055	4376.07
3449.535	4850.84
3449.016	5109.32
3448.498	5002.06
3447.98	4367.28
3447.458	4529.05
3446.937	5719.49
3446.422	5784.55
3445.902	5395.94
3445.383	5434.63
3444.866	4826.22
3444.345	4734.79
3443.825	5427.59
3443.307	5615.74
3442.789	5237.69
3442.27	4652.14
3441.749	4734.79
3441.235	3959.33
3440.713	3138.16
3440.193	3728.98
3439.675	3913.62
3439.155	3966.37
3438.638	3523.25
3438.117	3495.12
3437.601	3366.75
3437.078	3572.49
3436.558	4910.63
3436.039	5564.75
3435.52	6108.09
3435.002	6389.44
3434.485	5953.35
3433.966	5591.12
3433.445	5897.09
3432.928	6016.66
3432.412	5081.19
3431.892	4305.74
3431.372	4354.97
3430.852	4750.61
3430.33	6120.4
3429.815	6570.55
3429.296	5930.49
3428.779	5364.29
3428.26	4687.31
3427.736	5958.63
3427.219	7407.55
3426.701	7389.96
3426.184	6941.57
3425.664	6844.86
3425.144	7465.57
3424.628	7229.95
3424.108	6797.38
3423.586	7792.64
3423.072	8008.92
3422.55	8030.02
3422.033	8517.09
3421.514	8401.04
3420.994	8867.02
3420.476	9245.07
3419.956	9696.98
3419.442	9289.03
3418.921	8661.28
3418.402	9199.35
3417.883	9500.04
3417.363	10029.31
3416.85	9434.98
3416.328	8910.98
3415.812	8870.53
3415.292	8295.54
3414.773	8503.03
3414.255	8569.85
3413.735	8773.82
3413.217	9039.34
3412.702	8339.5
3412.182	7657.24
3411.664	7400.51
3411.144	7414.58
