This file contains the electron density obtained by simulating the Venus ionosphere using the 1D Venus Ionosphere Model (VIM)
for the Pre-flare and flare scenario as on the date 22 December, 2013. The model result has been compared with the VeRa electron
density retrieved for the same day. The full VeRa data can be accessed via the https://fip-koeln.de/marsvera-data-archive/?lang=en 
after asking for access to the server.
 
-----------------------------------------------------------------------------
 values at 130 km altitude above aeroid (130 km) for VeRa profile
-----------------------------------------------------------------------------
 Measurement time (130 km)                    [ERT] :  2013-12-22T08:48:37.621
 Measurement time (130 km)               [ERT-OWLT] :  2013-12-22T08:45:59.339
 Solar longitude (130 km)                     [deg] :      200.66
 Planet to Sun distance (130 km)          [10^6 km] :     107.768
 North planetary latitude (130 km)            [deg] :      -51.25
 East planetary longitude (130 km)            [deg] :       47.03
 Sub-solar north planetary latitude (130 km)  [deg] :       -0.93
 Sub-solar east planetary longitude (130 km)  [deg] :       96.40
 Aeroid radius (130 km)                        [km] :    6051.800
 Local true solar time (130 km)               [hrs] :       15.29
 Solar zenith angle (130 km)                  [deg] :       65.15
 Electron density (130 km)               [10^6/m^3] :   192030.12
 
=============================================================================

Height_Model	Ne_Flare	Ne_PreFlare	Alt	VeRa_Ne
136.9	357625.8211	352333.4805	52.453	-9999999.99
137	361470.8424	356124.258	52.472	-9999999.99
137.1	365210.2542	359810.2933	52.483	-9999999.99
137.2	368841.3539	363388.8921	52.484	-9999999.99
137.3	372361.7566	366857.7329	52.523	-9999999.99
137.4	375769.5817	370215.0716	52.543	-9999999.99
137.5	379062.9504	373459.0257	52.572	-9999999.99
137.6	382240.2985	376588.0117	52.588	-9999999.99
137.7	385300.5195	379601.1662	52.616	-9999999.99
137.8	388242.4267	382496.9001	52.634	-9999999.99
137.9	391064.9452	385275.0447	52.659	-9999999.99
138	393767.9496	387934.5435	52.666	-9999999.99
138.1	396350.8966	390475.3584	52.676	-9999999.99
138.2	398813.5522	392897.0907	52.677	-9999999.99
138.3	401155.8133	395200.1707	52.695	-9999999.99
138.4	403378.1896	397384.4718	52.706	-9999999.99
138.5	405480.8098	399450.5419	52.725	-9999999.99
138.6	407464.3913	401398.8419	52.729	-9999999.99
138.7	409329.6123	403230.2333	52.741	-9999999.99
138.8	411077.0889	404945.5162	52.743	-9999999.99
138.9	412708.0745	406545.5762	52.759	-9999999.99
139	414223.5932	408031.5816	52.774	-9999999.99
139.1	415624.8941	409404.9235	52.801	-9999999.99
139.2	416913.2491	410666.8592	52.821	-9999999.99
139.3	418090.1992	411818.6448	52.861	-9999999.99
139.4	419157.2521	412862.1402	52.862	-9999999.99
139.5	420116.1251	413798.8282	52.868	-9999999.99
139.6	420968.4798	414630.5594	52.881	-9999999.99
139.7	421716.2876	415358.9114	52.9	-9999999.99
139.8	422361.0535	415985.9425	52.927	-9999999.99
139.9	422905.0435	416513.4008	52.943	-9999999.99
140	423350.1942	416943.5661	52.971	-9999999.99
140.1	423702.7581	417282.2106	52.987	-9999999.99
140.2	423969.1457	417536.399	53.011	-9999999.99
140.3	424152.0502	417707.7721	53.017	-9999999.99
140.4	424253.2742	417798.9219	53.032	-9999999.99
140.5	424275.1868	417811.9007	53.035	-9999999.99
140.6	424220.1583	417749.118	53.05	-9999999.99
140.7	424090.0312	417612.4786	53.061	-9999999.99
140.8	423887.4696	417404.1548	53.083	-9999999.99
140.9	423614.2118	417126.5696	53.091	-9999999.99
141	423272.5502	416781.3805	53.102	-9999999.99
141.1	422864.5387	416370.9928	53.103	-9999999.99
141.2	422392.2638	415897.2814	53.117	-9999999.99
141.3	421857.508	415362.1627	53.123	-9999999.99
141.4	421262.6505	414767.878	53.137	-9999999.99
141.5	420609.4252	414116.1466	53.143	-9999999.99
141.6	419899.869	413408.8859	53.166	-9999999.99
141.7	419135.6524	412648.1214	53.182	-9999999.99
141.8	418318.7172	411835.4799	53.208	-9999999.99
141.9	417451.1599	410972.7736	53.223	-9999999.99
142	416534.1732	410061.8871	53.244	-9999999.99
142.1	415570.1184	409104.4724	53.247	-9999999.99
142.2	414560.286	408102.197	53.279	-9999999.99
142.3	413506.6152	407056.6699	53.281	-9999999.99
142.4	412410.5506	405969.6107	53.288	-9999999.99
142.5	411273.7457	404842.5177	53.302	-9999999.99
142.6	410097.7249	403676.9721	53.313	-9999999.99
142.7	408883.997	402474.4111	53.336	-9999999.99
142.8	407634.2436	401236.3907	53.342	-9999999.99
142.9	406349.6622	399964.2036	53.355	-9999999.99
143	405031.8119	398659.4528	53.361	-9999999.99
143.1	403682.1091	397323.3675	53.382	-9999999.99
143.2	402301.8295	395957.2242	53.385	-9999999.99
